City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,inuvik,68.3499,-133.7218,1.42,74,75,2.57,CA,1683496448
264,cabo san lucas,22.8909,-109.9124,33.17,43,75,4.63,MX,1683495959
265,montgomery,39.1501,-77.1997,20.23,84,100,0.45,US,1683496448
266,darhan,49.4867,105.9228,10.68,49,100,1.86,MN,1683496449
267,coos bay,43.3665,-124.2179,14.44,79,100,5.14,US,1683496213
268,pasni,25.2631,63.471000000000004,28.78,59,0,3.06,PK,1683496449
269,sindor,62.8629,51.8905,-4.83,79,100,4.54,RU,1683496450
270,napanee,44.2501,-76.9494,14.95,95,100,1.02,CA,1683496450
271,krasnyy yar,46.5331,48.3456,16.96,58,100,1.66,RU,1683496450
272,redmond,47.674,-122.1215,17.28,59,99,2.68,US,1683496364
273,shetpe,44.1667,52.1167,19.63,26,100,3.15,KZ,1683496451
274,toora-khem,52.4675,96.11,3.97,93,1,0.84,RU,1683496451
275,ongandjera,-17.8833,15.0667,24.59,31,16,4.0,,1683496451
276,bengkulu,-3.8004,102.2655,24.21,84,99,1.62,ID,1683496452
277,tessalit,20.1986,1.0114,34.78,16,94,6.66,ML,1683496452
278,lebowakgomo,-24.2,29.5,17.5,78,88,0.93,ZA,1683496453
279,maroantsetra,-15.4333,49.7333,23.2,87,55,1.98,MG,1683496453
280,singkang,2.1006,102.7994,25.63,87,100,1.45,MY,1683496453
281,meadow lake,34.8014,-106.5436,28.25,10,11,4.16,US,1683496454
282,itarema,-2.9248,-39.9167,25.8,78,87,4.57,BR,1683496454
283,vila velha,-20.3297,-40.2925,24.97,88,40,3.09,BR,1683496175
284,khatanga,71.9667,102.5,-14.23,96,99,4.66,RU,1683496454
285,paita,-5.0892,-81.1144,26.0,75,49,5.9,PE,1683496455
286,hanzhong,33.0728,107.0303,11.81,89,100,0.95,CN,1683496455
287,krasnoselkup,65.7,82.4667,1.16,99,100,4.63,RU,1683496455
288,harper,4.375,-7.7169,26.94,81,100,2.84,LR,1683496277
289,sitka,57.0531,-135.33,10.94,62,40,3.6,US,1683496456
290,yerbogachen,61.2767,108.0108,-0.98,97,100,1.41,RU,1683496153
291,venado tuerto,-33.7456,-61.9688,19.31,60,0,2.74,AR,1683496456
292,batu,-7.87,112.5283,18.73,95,89,0.21,ID,1683496457
293,nouadhibou,20.930999999999997,-17.0347,22.99,60,0,8.23,MR,1683496458
294,hue,16.4667,107.6,26.06,83,75,5.66,VN,1683496458
295,lukovetskiy,64.2956,41.9211,-2.31,97,32,1.78,RU,1683496458
296,victoria,22.2855,114.1577,25.53,83,91,2.68,HK,1683496162
297,necochea,-38.5473,-58.7368,13.92,91,100,7.27,AR,1683496459
298,hovd,48.0056,91.6419,1.59,98,100,1.28,MN,1683496003
299,fairlie,55.756,-4.8556,13.01,81,100,3.71,GB,1683496459
300,barcelos,41.5388,-8.6151,17.14,79,37,1.86,PT,1683496460
301,parambu,-6.2111,-40.6944,23.79,54,61,1.22,BR,1683496460
302,kalmunai,7.4167,81.8167,25.46,81,100,1.9,LK,1683496460
303,buala,-8.145,159.5921,28.86,74,66,1.58,SB,1683496460
304,saldanha,-33.0117,17.9442,14.03,88,18,3.27,ZA,1683496180
305,malakal,9.5334,31.6605,32.24,39,97,3.85,SS,1683496461
306,shieli,44.1667,66.75,17.25,16,0,1.92,KZ,1683496462
307,iqaluit,63.7506,-68.5145,-3.15,73,20,8.23,CA,1683496462
308,rangia,26.4667,91.6333,24.7,58,2,3.61,IN,1683496462
309,kruisfontein,-34.0033,24.7314,14.94,84,97,2.82,ZA,1683496179
310,toguchin,55.2353,84.3858,13.8,48,10,1.56,RU,1683496463
311,kichera,55.9375,110.0997,0.79,83,97,0.59,RU,1683496463
312,lufilufi,-13.8745,-171.5986,30.88,76,24,5.81,WS,1683496463
313,elat,29.5581,34.9482,22.91,43,0,5.66,IL,1683496464
314,robe,-37.1833,139.75,13.5,63,100,6.68,AU,1683496464
315,khudumelapye,-23.8833,24.75,19.67,48,100,6.01,BW,1683496464
316,sampit,-2.5333,112.95,23.8,99,100,0.23,ID,1683496464
317,mwene-ditu,-7.0,23.45,19.59,80,34,1.87,CD,1683496465
318,swan river,52.1058,-101.2676,18.94,30,100,6.17,CA,1683496465
319,bumbuna,9.05,-11.7333,24.78,86,99,1.28,SL,1683496465
320,praia da vitoria,38.7333,-27.0667,20.14,88,75,7.79,PT,1683496466
321,sola,-13.8833,167.55,27.37,89,75,0.0,VU,1683496466
322,salekhard,66.53,66.6019,-6.75,94,100,10.41,RU,1683496467
323,caravelas,-17.7125,-39.2481,24.57,80,1,3.62,BR,1683496467
324,tigil,57.8,158.6667,2.37,71,13,1.15,RU,1683496467
325,baoying,33.2292,119.3092,10.9,74,100,2.48,CN,1683496468
326,acapulco,16.8634,-99.8901,31.9,70,20,6.17,MX,1683496300
327,xai-xai,-25.0519,33.6442,21.72,90,1,2.1,MZ,1683496468
328,suntar,62.1444,117.6319,-5.07,86,79,1.24,RU,1683496469
329,clyde river,70.4692,-68.5914,-4.87,86,0,12.35,CA,1683496469
330,bekhtery,46.251000000000005,32.2927,10.23,84,70,2.41,UA,1683496469
331,nhulunbuy,-12.2333,136.7667,27.34,74,100,8.23,AU,1683496469
332,hualmay,-11.0964,-77.6139,23.16,78,46,5.87,PE,1683496188
333,turukhansk,65.8167,87.9833,1.12,87,100,5.06,RU,1683496470
334,bonoua,5.2741,-3.595,27.79,82,99,2.08,CI,1683496470
335,trelew,-43.248999999999995,-65.3051,11.8,64,90,4.54,AR,1683496414
336,san cristobal,7.7669,-72.225,27.1,41,88,2.31,VE,1683496190
337,akdepe,42.0551,59.3788,16.05,37,14,2.71,TM,1683496471
338,verkhnevilyuysk,63.4453,120.3167,-7.15,90,96,2.12,RU,1683496472
339,idlib,35.9306,36.6339,12.72,91,0,2.62,SY,1683496472
340,bonavista,48.6499,-53.1147,4.39,90,100,4.64,CA,1683496273
341,solnechnyy,50.7214,136.6319,10.03,43,1,1.91,RU,1683496473
342,mangaluru,12.8667,74.8833,28.48,78,20,0.0,IN,1683496473
343,jaisalmer,26.9147,70.9181,29.29,11,0,4.4,IN,1683496473
344,manggar,-2.8833,108.2667,27.44,82,100,3.41,ID,1683496474
345,gigmoto,13.7796,124.39,26.93,80,80,1.81,PH,1683496474
346,labuhan,-6.8844,112.2051,24.79,87,100,3.7,ID,1683496474
347,san carlos de bariloche,-41.1456,-71.3082,12.86,38,0,1.54,AR,1683496475
348,airai,-8.9266,125.4092,15.38,92,85,2.28,TL,1683496475
349,tikapur,28.5,81.1333,24.11,36,0,2.5,NP,1683496475
350,camocim,-2.9022,-40.8411,26.5,82,98,4.45,BR,1683496476
351,mecca,21.4267,39.8261,28.75,32,89,3.63,SA,1683496461
352,lukiv,51.0521,25.4006,2.88,97,100,5.62,UA,1683496476
353,tual,-5.6667,132.75,28.89,75,100,5.86,ID,1683496477
354,halifax,44.6453,-63.5724,13.94,68,21,10.8,CA,1683496440
355,fortuna,40.5982,-124.1573,18.29,61,94,2.24,US,1683496477
356,tuatapere,-46.1333,167.6833,13.36,81,98,1.23,NZ,1683496277
357,tautira,-17.7333,-149.15,27.72,75,60,6.48,PF,1683496272
358,richards bay,-28.783,32.0377,20.53,88,97,2.35,ZA,1683496478
359,grand haven,43.0631,-86.2284,23.31,69,20,3.09,US,1683496478
360,teahupoo,-17.8333,-149.2667,26.98,75,66,6.87,PF,1683496271
361,kilindoni,-7.9139,39.6668,27.15,73,6,7.17,TZ,1683496479
362,kavali,14.9167,79.9833,28.61,75,30,2.42,IN,1683496479
363,gayny,60.3071,54.3241,-1.69,75,100,5.26,RU,1683496479
364,rumonge,-3.9736,29.4386,21.58,84,10,1.8,BI,1683496480
365,dunedin,-45.8742,170.5036,15.6,90,100,1.34,NZ,1683495989
